Work Section (Location),Department," Inspection Request for:
(Type of Inspection)"
	STGLOCAL CONTROL PANEL ROOM TP-12,civil,Load test on piles under lateral load
HJH Rebar shop,civil,Rebar Cage Inspection
HRSG (Unit 2),civil,Survey & Setting out
HRSG (Unit 2),civil,Holes Drilling
HRSG (Unit 2),civil,Cage Installation
HRSG,civil,Cage Installation
HRSG (Unit 2),civil,Concrete Pouring
HJH Rebar shop,civil,Rebar Cage Inspection
HJH Rebar shop,civil,Rebar Cage Inspection
HRSG (Unit 2),civil,Survey & Setting out
HRSG (Unit 2),civil,Holes Drilling
HRSG (Unit 2),civil,Cage Installation
HRSG (Unit 2),civil,Concrete Pouring
HRSG (Unit 2),civil,Survey & Setting out
HJH Rebar shop,civil,Rebar Cage Inspection
HRSG (Unit 2),civil,Holes Drilling
HRSG (Unit 2),civil,Cage Installation
HRSG (Unit 2),civil,Concrete Pouring
HJH Rebar shop,civil,Rebar Cage Inspection
HRSG (Unit 2),civil,Survey & Setting out
HRSG (Unit 2),civil,Holes Drilling
HRSG (Unit 2),civil,Cage Installation
HRSG (Unit 2),civil,Concrete Pouring
HJH Rebar shop,civil,Rebar Cage Inspection
HRSG (Unit 2),civil,Survey & Setting out
HRSG (Unit 2),civil,Holes Drilling
HRSG (Unit 2),civil,Cage Installation
HRSG (Unit 2),civil,Concrete Pouring
HRSG (Unit 2),civil,Holes Drilling
HRSG (Unit 2),civil,Cage Installation
HRSG (Unit 2),civil,Concrete Pouring
HJH Rebar shop,civil,Rebar Cage Inspection
HJH Rebar shop,civil,Rebar Cage Inspection
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Survey & Setting out
HRSG,civil,Survey and setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Rebar  Cage
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
BATCHING PLANT,civil,Making the test cubic for testing concrete strength and witness the relevant performance.
GASN LABORATORY,civil,Concrete Strength test for B25-Day3
GASN LABORATORY,civil,Concrete Strength test for B25-Day7
BATCHING PLANT,civil,Making the test cubic for testing concrete strength and witness the relevant performance.
BATCHING PLANT,civil,Making the test cubic for testing concrete strength and witness the relevant performance.
GASN LABORATORY,civil,Concrete Strength test for B25（M350）-Day3、
GASN LABORATORY,civil,Concrete Strength test for B25-Day14
GASN LABORATORY,civil,Concrete Strength test for B10（M150）-Day3、B20（M250）-Day3
GASN LABORATORY,civil,Concrete Strength test for B25（M350）-Day7、 B27.5（M350）-Day7
GASN LABORATORY,civil,Concrete Strength test for B10（M150）-Day7、B20（M250）-Day7
GASN LABORATORY,civil,Concrete Strength test for B25（M350）-Day14、 B27.5（M350）-Day14
GASN LABORATORY,civil,Concrete Strength test for B10（M150）-Day14、B20（M250）-Day14
GASN LABORATORY,civil,Concrete Strength test for B25-Day28
GASN LABORATORY,civil,Concrete Strength test for B25（M350）-Day28、
GASN LABORATORY,civil,Concrete Strength test for B10（M150）-Day28、B20（M250）-Day28
BATCHING PLANT,civil,workability duration for B25 working pile
BATCHING PLANT,civil,workability duration for B10 concrete
BATCHING PLANT,civil,workability duration for B25 concrete
BATCHING PLANT,civil,workability duration for B25 concrete
BATCHING PLANT,civil,workability duration for B25 concrete
BATCHING PLANT,civil,workability duration for B20 concrete
Control and administration building,civil,Survey of excavation area and setting out
West access road,Civil,Inspection of base course layer and testing 
Sewage treatment plant,Civil,1st layer backfilling with compaction
Fuel gas conditioning skid foundation ,Civil,Survey of excavation area and setting out
West access road,Civil,Inspection of Application of Prime Coating
West access road,Civil,Inspection of laying of asphaltic concrete blinding course 
Fuel gas conditioning skid foundation ,Civil,Inspection of excavation of pit 
Fuel gas conditioning skid foundation ,Civil,"Inspection of dimension and level of excavation area, ensure to provide enough work space "
Fuel gas conditioning skid foundation ,Civil,"Inspection of compaction and testing  
(PLT)"
HRSG,civil,Survey & Setting out
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Rebar  Cage
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Survey & Setting out
HRSG,civil,Survey & Setting out
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Survey and setting out
HRSG,civil,Holes Drilling
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Survey and setting out
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Survey and setting out
HRSG,civil,Rebar Cage Inspection
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
HRSG,civil,Concrete Pouring
Fuel gas compressor foundation,Civil,Survey of excavation area and setting out
HRSG Area,civil,Survey & Setting out
HRSG Area,civil,Rebar Cage Inspection
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Survey & Setting out
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
Fuel gas conditioning skid foundation ,Civil,Survey and setting out works
Fuel gas conditioning skid foundation ,Civil,"Lean concrete sampling, testing and placement inspection"
HRSG Area,civil,"Survey & Setting out
"
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Cage Inspection
HRSG Area,civil,Concrete Pouring
HRSG Area,civil,Holes Drilling
HRSG Area,civil,Cage Installation
HRSG Area,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
GAS TURBINE & GENERATOR,civil,Survey and setting out
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
GAS TURBINE & GENERATOR,civil,Survey and Setting out
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,survey and setting out
Sewage treatment plant,Civil,9th layer backfilling and compaction of east side of sewage treatment plant
West access road,Civil,"Evaluation of Field Compaction, Layer Thickness of base course layer"
Main electrical building,Civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
Main electrical building,Civil,"Check dimension & level of excavation area, ensure to provide enough work space"
Main electrical building,Civil,"Inspection of compaction and testing  
(PLT)"
Fuel gas compressor foundation,Civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
Control and administration building,Civil,Check dimension & level of backfilling as per drawing 
WORKSHOP AND STORE BUILDING,Civil,Survey and setting out
WORKSHOP AND STORE BUILDING,Civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
RO AND DM BUILDING,Civil,    Check the slope after excavation 
RO AND DM BUILDING ,Civil,Survey of excavation area and setting out
Control and administration building,Civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
Control and administration building,Civil,"Inspection of dimension and level of excavation area, ensure to provide enough work space "
GASN LABORATORY,civil,Concrete Strength test for B35 (M450) (sulfate resistance cement)  Day 3
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
GAS TURBINE & GENERATOR,civil,Survey and setting out
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
GAS TURBINE & GENERATOR,civil,Survey and setting out
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
HRSG,Civil,Concrete test block report
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
GAS TURBINE & GENERATOR,civil,Survey and setting out
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Holes Drilling
GAS TURBINE & GENERATOR,civil,Cage Inspection
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,Concrete Pouring
AIR COOLED CONDENSER,civil,Survey and setting out
AIR COOLED CONDENSER,civil,Rebar Cage Inspection
AIR COOLED CONDENSER,civil,Rebar Cage Inspection
AIR COOLED CONDENSER,civil,Holes Drilling
AIR COOLED CONDENSER,civil,Cage Inspection
AIR COOLED CONDENSER,civil,Concrete Pouring
HRSG Area,civil,7 day  concrete test block test report
HRSG Area,civil,28day  concrete test block test report
GAS TURBINE & GENERATOR,civil,Rebar Cage Inspection
Main electrical building,civil,Survey and setting out
