Work Section (Location),Department," Inspection Request for:
(Type of Inspection)"
AIR COOLED CONDENSER,civil,Concrete finishing & Concrete repair works
WTP ELECTRICAL BUILDING,civil,"Installation of Formworks, Embedded Items Inspection"
CHEMICAL STORAGE SHED,civil,"Concrete Sampling, Testing & Placement Inspection"
AIR COOLED CONDENSER,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
500/220kV Substation Area,civil,Check dimension & level of excavation 
500/220kV Substation Area,civil,Survey and set-out works 
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,Installation of Reinforcement Inspection
500/220kV Substation Area,civil,Installation of Formworks & Shuttering 
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,Installation of Reinforcement Inspection
WTP ELECTRICAL BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
Sanitary drain manhole,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
RO AND DM BUILDING,civil,Concrete finishing & Concrete repair works
WORKSHOP AND STORE BUILDING,civil,Installation of Reinforcement Inspection
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Generator circuit breaker foundation ,civil,"Lean concrete sampling, testing and placement inspection"
Main electrical building,civil,Installation of Reinforcement Inspection
Main electrical building,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Fuel gas compressor foundation,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
500/220kV Substation Area,civil,"concrete sampling, testing and placement inspection"
500/220kV Substation Area,civil,Installation of Reinforcement Inspection
500/220kV Substation Area,civil,Installation of Formworks & Shuttering 
500/220kV Substation Area,civil,"concrete sampling, testing and placement inspection "
500/220kV Substation Area,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
500/220kV Substation Area,civil,Check dimension & level of excavation 
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,Survey of excavation area and setting out
500/220kV Substation Area,civil,Compaction Testing Inspection
500/220kV Substation Area,civil,installation of formworks & shuttering
500/220kV Substation Area,civil,"concrete sampling, testing and placement inspection"
500/220kV Substation Area,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
Air Cooled Condenser (ACC),ELECTRICAL,Grounding Cable and GS flat
Air Cooled Condenser (ACC),ELECTRICAL,Continuity Test 
Fuel gas buffer piping support GA and RC,civil,Survey of excavation area and setting out
Fuel gas compressor cooler GA and RC,civil,Survey of excavation area and setting out
Main electrical building,civil,"Concrete Sampling, Testing & Placement Inspection"
HRSG №1,civil,"Concrete finishing & curing Inspection, Concrete repair works"
Transformer yard area,civil,Installation of Reinforcement Inspection 
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Transformer yard area,civil,"Concrete Sampling, Testing & Placement Inspection"
Secondary Pipe/Сable rack,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Secondary Pipe/Сable rack,civil,"inspection of concrete sampling, testing and placement for foundation "
GTG building,civil,Installation of Reinforcement Inspection
WORKSHOP AND STORE BUILDING,civil,Installation of Formworks 
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
AIR COMPRESSOR ,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
ACC POWER HOUSE,civil,Concrete finishing & Concrete repair works
CCW FIN FAN COOLER (GT & ST),civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
ACC POWER HOUSE CABLE RACEWAY,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Concrete Sampling, Testing & Placement Inspection"
AIR COOLED CONDENSER,civil,"Concrete Sampling, Testing & Placement Inspection"
WTP ELECTRICAL BUILDING,civil,"Installation of Formworks, Embedded Items Inspection"
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
XYH MATERIAL YARD,civil,installation of reinforcement inspection
WORKSHOP AND STORE BUILDING,civil,installation of reinforcement inspection
CCW FIN FAN COOLER (GT & ST),civil,installation of reinforcement inspection
WORKSHOP AND STORE BUILDING,civil,Installation of Formworks
ST TRANSFORMER YARD AREA,civil,"Concrete Sampling, Testing & Placement Inspection"
STG BUILDING,civil,Survey of excavation area and setting out
UNDERGROUND PIPING,civil,Survey of excavation area and setting out
AIR COMPRESSOR ,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
WTP ELECTRICAL BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
Fuel gas compressor foundation,civil,"Concrete finishing & curing Inspection, Concrete repair works"
Fuel gas compressor foundation,civil,"Inspection of concrete sampling , testing and placement for foundation"
HRSG №2,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Fuel gas compressor foundation,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,Installation of Reinforcement Inspection 
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Transformer yard area,civil,"Concrete Sampling, Testing & Placement Inspection"
Transformer yard area,civil,Installation of Reinforcement Inspection 
Transformer yard area,civil,installation of reinforcement inspection 
Generator circuit breaker foundation ,civil,installation of reinforcement inspection
Generator circuit breaker foundation ,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Generator circuit breaker foundation ,civil,"Concrete Sampling, Testing & Placement Inspection"
Fuel gas compressor foundation,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Power Control Center Foundation ,civil,survey and set-out works
500/220kV Substation Area,civil,check dimension & level of excavation
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,installation of formworks & shuttering
500/220kV Substation Area,civil,"concrete sampling, testing and placement inspection"
500/220kV Substation Area,civil,Survey & set-out works
GTG building,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
HRSG #1,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Transformer yard area,civil,installation of reinforcement inspection
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Transformer yard area,civil,"concrete sampling, testing and placement, inspection"
Power Control Center Foundation ,civil,"lean concrete sampling, testing and placement inspection "
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Sanitary System,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG #2,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,Survey & set-out works
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,installation of formworks & shuttering
500/220kV Substation Area,civil,"concrete sampling, testing and placement inspection"
500/220kV Substation Area,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
500/220kV Substation Area,civil,check dimension & level of excavation 
500/220kV Substation Area,civil,Compaction Testing Inspection
500/220kV Substation Area,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
500/220kV Substation Area,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
CHEMICAL STORAGE SHED,civil,"concrete sampling, testing and placement inspection"
AIR COMPRESSOR ,civil,"concrete sampling, testing and placement inspection"
CONDENSATE VACUUM SKID ,civil,survey of excavation area and setting out
AIR COOLED CONDENSER,civil,Check dimension & level of backfilling as per drawing 
WTP ELECTRICAL BUILDING,civil,"concrete sampling, testing and placement inspection"
RO AND DM BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
ST TRANSFORMER YARD AREA,civil,installation of reinforcement inspection
ACC POWER HOUSE,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
CHEMICAL STORAGE SHED,civil,Concrete finishing & Concrete repair works
CHEMICAL STORAGE SHED,civil,Concrete finishing & Concrete repair works
ACC DUCT,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
ACC DUCT,civil,"check dimension & level of excavation area, ensure to provide enough work space "
CCW FIN FAN COOLER (GT & ST),civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,installation of formworks 
ACC POWER HOUSE,civil,compaction testing inspection
AIR COMPRESSOR ,civil,compaction testing inspection
CCW FIN FAN COOLER (GT & ST),civil,compaction testing inspection 
WORKSHOP AND STORE BUILDING,civil,compaction testing inspection
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,Survey & set-out works
AIR COOLED CONDENSER,civil,Concrete finishing & Concrete repair works
ACC DUCT,civil,pile head cutting
AIR COOLED CONDENSER,civil,Surface preparation & Protective coating
CHEMICAL STORAGE SHED,civil,Surface preparation & Protective coating
RO AND DM BUILDING,civil,Surface preparation & Protective coating
AIR COOLED CONDENSER,civil,Surface preparation & Protective coating
ACC POWER HOUSE,civil,Surface preparation & Protective coating
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,"Lean Concrete Sampling, Testing & Placement Inspection"
ST TRANSFORMER YARD AREA,civil,installation of formworks
WTP ELECTRICAL BUILDING,civil,"concrete sampling, testing and placement inspection"
ACC POWER HOUSE,civil,check dimension & level of backfilling as per drawing 
CCW FIN FAN COOLER (GT & ST),civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
ACC POWER HOUSE,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
CHEMICAL STORAGE SHED,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
ACC DUCT,civil,survey & set-out works 
CCW FIN FAN COOLER (GT & ST),civil,"concrete sampling, testing and placement inspection"
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,"concrete sampling, testing and placement inspection"
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,installation of reinforcement inspection
CCW FIN FAN COOLER (GT & ST),ELECTRICAL,Grounding Cable and GS flat
TRANSFORMER AREA,ELECTRICAL,conduit installation for cable protection 
CONDENSATE VACUUM SKID ,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
CONDENSATE VACUUM SKID ,civil,"Check dimension & level of excavation area, ensure to provide enough work space "
CHEMICAL STORAGE SHED,civil,Concrete finishing & Concrete repair works
WTP ELECTRICAL BUILDING,civil,concrete finishing & concrete repair works
WTP ELECTRICAL BUILDING,civil,surface preparing & protective coating
AIR COMPRESSOR ,civil,Surface preparation & Protective coating
AIR COMPRESSOR ,civil,Concrete finishing & Concrete repair works
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,installation of formworks
ACC POWER HOUSE,civil,Check dimension & level of backfilling as per drawing 
ST TRANSFORMER YARD AREA,civil,"concrete sampling, testing and placement inspection"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,installation of formworks & shuttering
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,Compaction Testing Inspection
500/220kV Substation Area,civil,"excavation (sloping, shoring & bracing) inspection "
Control and administration building,civil,installation of reinforcement inspection
HRSG #1,civil,"Inspection of concrete sampling , testing and placement for foundation"
GTG building,civil,"concrete sampling, testing and placement inspection "
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Fuel gas compressor foundation,civil,"surface preparation, protective coating ( primer, bitumen coating or if any)"
GTG building,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
HRSG #1,civil,"Surface preparation, Protective coating (Primer, bitumen coating or if any)"
Main electrical building,civil,Installation of Reinforcement Inspection
GTG building,civil,pile head cutting
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG #2,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Transformer accident oil pit foundation,civil,installation of reinforcement inspection
Transformer accident oil pit foundation,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Transformer accident oil pit foundation,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Transformer accident oil pit foundation,civil,"Inspection of concrete sampling , testing and placement for foundation"
HRSG #2,civil,"inspection of concrete sampling, testing and placment for foundation"
Secondary Pipe/Сable rack,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,"concrete sampling, testing and placement inspction "
Power Control Center Foundation ,civil,installation of reinforcement inspection 
Power Control Center Foundation ,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Power Control Center Foundation ,civil,"concrete sampling, testing and placement inspection"
Transformer yard area,civil,installation of reinforcement inspection 
GTG building,civil,installation of reinforcement inspection 
Transformer yard area,civil,"installation of formworks & shuttering, embadded Items Inspection"
HRSG #1,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,"concrete sampling, testing and placement inspection"
Transformer accident oil pit foundation,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Generator circuit breaker foundation ,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
CHEMICAL STORAGE SHED,civil,Check dimension & level of backfilling as per drawing 
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
ACC POWER HOUSE,civil,Check dimension & level of backfilling as per drawing 
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
CHEMICAL STORAGE SHED,civil,Check dimension & level of backfilling as per drawing
RO AND DM BUILDING,civil,Check dimension and level of backfilling as per drawing
ACC POWER HOUSE CABLE RACEWAY,civil,installation of formworks
CCW FIN FAN COOLER (GT & ST),civil,Surface preparation & Protective coating
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,"concrete sampling, testing and placement inspection"
ACC POWER HOUSE CABLE RACEWAY,civil,"concrete sampling, testing and placement inspection"
WTP ELECTRICAL BUILDING,civil,Check dimension & level of backfilling as per drawing 
AIR COMPRESSOR ,civil,check dimension & level o backfilling as per drawing 
CCW FIN FAN COOLER (GT & ST),civil,Concrete finishing & Concrete repair works
WORKSHOP AND STORE BUILDING,civil,"concrete sampling, testing and placement inspection"
XYH MATERIAL YARD,civil,installation of formworks
XYH MATERIAL YARD,civil,"concrete sampling, testing and placement inspection "
ST TRANSFORMER YARD AREA,civil,installation of reinforcement inspection 
CHEMICAL STORAGE SHED,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
WTP ELECTRICAL BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COMPRESSOR ,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,installation of reinforcement inspection
CHEMICAL STORAGE SHED,civil,surface prepararion & protective coating 
ACC POWER HOUSE,civil,Survey & set-out works
MAIN PIPE / CABLE RACK PR-12,civil,survey of excavation area and setting out 
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
WTP ELECTRICAL BUILDING,civil,Check dimension & level of backfilling as per drawing 
AIR COMPRESSOR ,civil,Check dimension & level of backfilling as per drawing 
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,installation of reinforcement inspection
500/220kV Substation Area,civil,check dimension & level of excavation 
500/220kV Substation Area,civil,Compaction Testing Inspection
500/220kV Substation Area,civil,installation of reinforcement inspection 
500/220kV Substation Area,civil,installation of formworks & shuttring
500/220kV Substation Area,civil,"concrete sampling, testing and placement inspection"
500/220kV Substation Area,civil,installation of reinforcement inspection 
500/220kV Substation Area,civil,installation of formworks & shuttring
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,Survey & set-out works
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,check dimension & level of excavation 
500/220kV Substation Area,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
500/220kV Substation Area,civil,Survey & set-out works
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,installation of formworks & shuttering 
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,Survey & set-out works
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
500/220kV Substation Area,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
500/220kV Substation Area,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
500/220kV Substation Area,civil,Compaction Testing Inspection
500/220kV Substation Area,civil,"excavation (sloping, shoring & bracing ) inspection"
Transformer yard area,civil,installation of reinforcement inspection 
GTG building,civil,"excavation (sloping, shoring and bracing ) inspection "
GTG building,civil,"check dimension & level of excavation area, ensure to provide enough work space for PR-03/1-2, PR-04/5, PR03/A-B"
GTG building,civil,survey and set-out works
GTG building,civil,"lean concrete sampling, testing and placement inspection "
Control and administration building,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
Control and administration building,civil,"concrete sampling, testing and placement inspction "
Main electrical building,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Main electrical building,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Transformer yard area,civil,installation of reinforcement inspection
Transformer yard area,civil,installation of reinforcement inspection
GTG building,civil,"Concrete finishing & curing Inspection, Concrete repair works"
Main electrical building,civil,installation of reinforcement inspection
Control and administration building,civil,Installation of Reinforcement Inspection
Main electrical building,civil,"installation of formworks & shuttering, embadded Items Inspection"
Process/Oily water drainage and pond,civil,Installation of Reinforcement Inspection
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
HRSG №1,civil,"Concrete finishing & curing Inspection, Concrete repair works"
HRSG №1,civil,Backfilling and compaction
Gas turbine and generator foundation №1,civil,installation of reinforcement inspection
GAS METERING STATION KID,civil,survey of excavation area and setting out 
HRSG #1,civil,Backfilling and compaction
Control and administration building,civil,Installation of Reinforcement Inspection
Control and administration building,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Air Cooled Condenser Power House,ELECTRICAL,grounding cable and GS flat & grounding rod
RO&DM water building and chemical bulk storage building ,ELECTRICAL,Grounding Cable and GS flat
500/220kV Substation Area,civil,check dimension & level of xcavation 
500/220kV Substation Area,civil,installation of formworks & shuttering 
ACC POWER HOUSE CABLE RACEWAY,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
WTP ELECTRICAL BUILDING,civil,Surface preparation & Protective coating
CCW FIN FAN COOLER (GT & ST),civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
AIR COMPRESSOR ,civil,Surface preparation & Protective coating
CCW FIN FAN COOLER (GT & ST),civil,"concrete sampling, testing and placement inspection"
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
AIR COOLED CONDENSER,civil,Check dimension & level of backfilling as per drawing 
STG BUILDING,civil,"excavation (sloping,shoring & bracing)"
STG BUILDING,civil,"check dimension & level OF EXCAVATION area, ensure to provide enough work space"
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,installation of reinforcement inspection
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,Survey & set-out works
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,Survey & set-out works
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,Survey & set-out works
WTP ELECTRICAL BUILDING,ELECTRICAL,grounding cable and GS flat & grounding rod
Air Cooled Condenser Power House,ELECTRICAL,Grounding Cable and GS flat
Main electrical building,ELECTRICAL,conduit installation for cable protection 
ST TRANSFORMER YARD AREA,civil,"Installation of Formworks & Shuttering, Embadded Items Inspection"
WTP ELECTRICAL BUILDING,civil,Check dimension & level of backfilling as per drawing 
CCW FIN FAN COOLER (GT & ST),civil,Check dimension & level of backfilling as per drawing 
CHEMICAL STORAGE SHED,civil,Check dimension & level of backfilling as per drawing 
AIR COMPRESSOR ,civil,Check dimension & level of backfilling as per drawing 
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
STG BUILDING,civil,pile head cutting
CCW FIN FAN COOLER (GT & ST),civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
WTP ELECTRICAL BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
ST TRANSFORMER YARD AREA,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
RO AND DM BUILDING,civil,Check dimension & level of backfilling as per drawing 
CCW FIN FAN COOLER (GT & ST),civil,Check dimension & level of backfilling as per drawing 
ST TRANSFORMER YARD AREA,civil,"Concrete Sampling, Testing and Placement Inspection"
ACC DUCT,civil,"lean concrete sampling, testing & placement inspection "
AIR COOLED CONDENSER,civil,Check dimension & level of backfilling as per drawing 
CCW FIN FAN COOLER (GT & ST),civil,Surface preparation & Protective coating
Transformer yard area,civil,"concrete sampling, testing and placement inspction "
Control and administration building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Transformer yard area,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG #1,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,"Installation of formworks & shuttering, embadded items inspection"
GTG building,civil,"Concrete Sampling, Testing and Placement Inspection "
GTG building,civil,"Concrete finishing & curing Inspection, Concrete repair works"
Transformer yard area,civil,"Concrete Sampling, Testing and Placement Inspection "
Transformer yard area,civil,"Concrete Sampling, Testing and Placement Inspection "
Generator circuit breaker foundation ,civil,installation of reinforcement inspection
HRSG №1,civil,Backfilling and compaction
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,installation of reinforcement inspection
Control and administration building,civil,Installation of Reinforcement Inspection
Control and administration building,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Control and administration building,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Transformer yard area,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Gas turbine and generator foundation №2,civil,Installation of Reinforcement Inspection
HRSG №2,civil,"Concrete finishing & curing Inspection, Concrete repair works"
HRSG №1,civil,Backfilling and compaction
Transformer yard area,civil,Survey of excavation area and setting out
Power plant area gantry and equipment foundation,civil,Survey of excavation area and setting out
Gas turbine and generator foundation №1,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Gas turbine and generator foundation №1,civil,"Installation of Formworks & Shuttering, Embedded Items Inspection"
Gas turbine and generator foundation №1,civil,Installation of Reinforcement Inspection
Power Control Center Foundation ,civil,Survey of excavation area and setting out
Transformer accident oil pit foundation,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
AIR COOLED CONDENSER,civil,surface prepararion & protective coating 
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,installation of formworks
MAIN PIPE / CABLE RACK PR-12,civil,"excavation (sloping, shoring & bracing) inspection"
MAIN PIPE / CABLE RACK PR-12,civil,"check dimension & level of excavation area, ensure to provide enough work space"
ACC POWER HOUSE CABLE RACEWAY,civil,Concrete finishing & Concrete repair works
RO AND DM BUILDING,civil,survey & set-out works
CHEMICAL STORAGE SHED,civil,Check dimension & level of backfilling as per drawing 
UNDERFROUND PIPING,civil,"check dimension & level of excavation area, ensure to provide enough work space"
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,installation of formworks
CHEMICAL DRAIN MANHOLE (CDMH18A),civil,"Concrete Sampling, Testing and Placement Inspection"
RO AND DM BUILDING,civil,"lean concrete sampling, testing and placement inspection"
CCW FIN FAN COOLER (GT & ST),civil,check dimension & level of backfilling as per drawing 
ACC DRAIN POT ,civil,survey of excavation area and setting out
STG BUILDING,civil,Pile Head Cutting
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,"Concrete Sampling, Testing and Placement Inspection"
CCW FIN FAN COOLER (GT & ST),civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
CHEMICAL DRAIN MANHOLE(CDMH18A),civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
Air Cooled Condenser,ELECTRICAL,Continuity Test 
ACC POWER HOUSE CABLE RACEWAY,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
SEWAGE LIFTING STATION AND VALVE PIT (LS-02),civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
WORKSHOP AND STORE BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
HRSG №1,civil,Backfilling and compaction
HRSG №1,civil,Installation of Reinforcement Inspection
Transformer yard area,civil,Installation of Reinforcement Inspection
HRSG №2,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Power Control Center Foundation ,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG №1,civil,"Surface preparation, Protective coating (Primer, bitumen coating or if any)"
Transformer yard area,civil,"Concrete Sampling, Testing and Placement Inspection "
500/220kV Substation Area,civil,"Lean Concrete Sampling, Testing & Placement Inspection"
500/220kV Substation Area,civil,Installation of Reinforcement Inspection
500/220kV Substation Area,civil,Installation of Formworks & Shuttering
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,Surface preparation & Protective coating Inspection
500/220kV Substation Area,civil,Installation of Reinforcement Inspection
500/220kV Substation Area,civil,Installation of Formworks & Shuttering
500/220kV Substation Area,civil,"Concrete Sampling, Testing and Placement Inspection"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,"Concrete finishing & curing Inspection, Concrete repair works"
500/220kV Substation Area,civil,Surface preparation & Protective coating Inspection
